split_id,seq1_time,c0_c1_copy_time,seq2_time,seq_fc_time,mb_device_0_start_time,mb_device_0_end_time,c0_c1_cp_start_time,c0_c1_cp_end_time,mb_device_1_start_time,mb_device_1_end_time,mb_fc_start_time,mb_fc_end_time,mb_device_0_start_datetime,mb_device_0_end_datetime,c0_c1_cp_start_datetime,c0_c1_cp_end_datetime,mb_device_1_start_datetime,mb_device_1_end_datetime,mb_fc_start_datetime,mb_fc_end_datetime
30,0.00865030288696289,9.322166442871094e-05,0.08626532554626465,0.0003559589385986328,1581696709.6042213,1581696709.6128716,1581696709.6128757,1581696709.612969,1581696709.6129727,1581696709.699238,1581696709.6992424,1581696709.6995983,2020-02-14 11:11:49.604221,2020-02-14 11:11:49.612873,2020-02-14 11:11:49.612876,2020-02-14 11:11:49.612970,2020-02-14 11:11:49.612973,2020-02-14 11:11:49.699239,2020-02-14 11:11:49.699242,2020-02-14 11:11:49.699599
31,0.0077245235443115234,7.677078247070312e-05,0.08722162246704102,0.0003681182861328125,1581696709.6996505,1581696709.707375,1581696709.7073793,1581696709.707456,1581696709.7074597,1581696709.7946813,1581696709.7946854,1581696709.7950535,2020-02-14 11:11:49.699650,2020-02-14 11:11:49.707376,2020-02-14 11:11:49.707379,2020-02-14 11:11:49.707457,2020-02-14 11:11:49.707459,2020-02-14 11:11:49.794682,2020-02-14 11:11:49.794685,2020-02-14 11:11:49.795055
32,0.008634328842163086,9.083747863769531e-05,0.0864722728729248,0.000354766845703125,1581696709.7951045,1581696709.8037388,1581696709.8037431,1581696709.803834,1581696709.8038375,1581696709.8903098,1581696709.890314,1581696709.8906689,2020-02-14 11:11:49.795105,2020-02-14 11:11:49.803740,2020-02-14 11:11:49.803743,2020-02-14 11:11:49.803834,2020-02-14 11:11:49.803837,2020-02-14 11:11:49.890311,2020-02-14 11:11:49.890314,2020-02-14 11:11:49.890670
33,0.008589982986450195,9.34600830078125e-05,0.0875856876373291,0.0003600120544433594,1581696709.890722,1581696709.899312,1581696709.8993165,1581696709.89941,1581696709.8994136,1581696709.9869993,1581696709.9870036,1581696709.9873636,2020-02-14 11:11:49.890722,2020-02-14 11:11:49.899313,2020-02-14 11:11:49.899316,2020-02-14 11:11:49.899411,2020-02-14 11:11:49.899413,2020-02-14 11:11:49.987001,2020-02-14 11:11:49.987003,2020-02-14 11:11:49.987364
34,0.00858616828918457,8.988380432128906e-05,0.08839154243469238,0.0003707408905029297,1581696709.9874146,1581696709.9960008,1581696709.996005,1581696709.996095,1581696709.9960988,1581696710.0844903,1581696710.0844946,1581696710.0848653,2020-02-14 11:11:49.987415,2020-02-14 11:11:49.996002,2020-02-14 11:11:49.996005,2020-02-14 11:11:49.996096,2020-02-14 11:11:49.996099,2020-02-14 11:11:50.084491,2020-02-14 11:11:50.084494,2020-02-14 11:11:50.084866
35,0.008556365966796875,7.772445678710938e-05,0.08865475654602051,0.0003802776336669922,1581696710.0849173,1581696710.0934737,1581696710.0934782,1581696710.093556,1581696710.0935597,1581696710.1822145,1581696710.1822186,1581696710.1825988,2020-02-14 11:11:50.084917,2020-02-14 11:11:50.093475,2020-02-14 11:11:50.093478,2020-02-14 11:11:50.093557,2020-02-14 11:11:50.093560,2020-02-14 11:11:50.182216,2020-02-14 11:11:50.182218,2020-02-14 11:11:50.182600
36,0.00856471061706543,8.988380432128906e-05,0.08835840225219727,0.000377655029296875,1581696710.18265,1581696710.1912148,1581696710.191219,1581696710.191309,1581696710.1913128,1581696710.2796712,1581696710.2796755,1581696710.2800531,2020-02-14 11:11:50.182650,2020-02-14 11:11:50.191216,2020-02-14 11:11:50.191219,2020-02-14 11:11:50.191310,2020-02-14 11:11:50.191313,2020-02-14 11:11:50.279672,2020-02-14 11:11:50.279675,2020-02-14 11:11:50.280054
37,0.008588552474975586,8.58306884765625e-05,0.08851766586303711,0.000370025634765625,1581696710.280104,1581696710.2886925,1581696710.2886965,1581696710.2887824,1581696710.288786,1581696710.3773036,1581696710.3773077,1581696710.3776777,2020-02-14 11:11:50.280104,2020-02-14 11:11:50.288694,2020-02-14 11:11:50.288696,2020-02-14 11:11:50.288783,2020-02-14 11:11:50.288786,2020-02-14 11:11:50.377305,2020-02-14 11:11:50.377307,2020-02-14 11:11:50.377679
38,0.00860905647277832,7.772445678710938e-05,0.0882558822631836,0.0003845691680908203,1581696710.377737,1581696710.386346,1581696710.3863504,1581696710.386428,1581696710.386432,1581696710.4746878,1581696710.4746919,1581696710.4750764,2020-02-14 11:11:50.377737,2020-02-14 11:11:50.386347,2020-02-14 11:11:50.386350,2020-02-14 11:11:50.386429,2020-02-14 11:11:50.386432,2020-02-14 11:11:50.474689,2020-02-14 11:11:50.474692,2020-02-14 11:11:50.475077
39,0.008539676666259766,8.416175842285156e-05,0.08853268623352051,0.00037932395935058594,1581696710.4751267,1581696710.4836664,1581696710.4836705,1581696710.4837546,1581696710.4837584,1581696710.5722911,1581696710.5722952,1581696710.5726745,2020-02-14 11:11:50.475127,2020-02-14 11:11:50.483668,2020-02-14 11:11:50.483670,2020-02-14 11:11:50.483755,2020-02-14 11:11:50.483758,2020-02-14 11:11:50.572292,2020-02-14 11:11:50.572295,2020-02-14 11:11:50.572675
